category,position,company,salarytype,salary
Food Preparation and Service,Kitchen Team Member,Chick-fil-A,per year,19558.5
Retail,Cashier,Chick-fil-A,per year,16809
Management,Team Leader,Chick-fil-A,per year,19227
Customer Service,Customer Service Representative,Chick-fil-A,per year,17998.5
Office and Administrative,Certified Trainer,Chick-fil-A,per year,18642
Food Preparation and Service,Host/Hostess,Walt Disney Parks and Resorts,per year,15970.5
Arts Entertainment Design and Media,Actor,Walt Disney Parks and Resorts,per year,18310.5
Retail,Merchandiser,Walt Disney Parks and Resorts,per year,17881.5
Customer Service,Guest Service Agent,Walt Disney Parks and Resorts,per year,21274.5
Management,Manager,Walt Disney Parks and Resorts,per year,20806.5
Technology,R&D Engineer,Abbott Laboratories,per year,75333
Sales,Sales Representative,Abbott Laboratories,per year,79782
Business and Finance,Senior Systems Analyst,Abbott Laboratories,per year,89098
Office and Administrative,Administrative Assistant,Abbott Laboratories,per year,47073
Production and Manufacturing,Assembler,Abbott Laboratories,per year,30392
Customer Service,Front Desk Agent,"Marriott International, Inc.",per year,20085
Food Preparation and Service,Night Auditor,"Marriott International, Inc.",per year,21918
Cleaning,Housekeeper,"Marriott International, Inc.",per year,18564
Management,General Manager,"Marriott International, Inc.",per year,51296
Office and Administrative,Front Desk Manager,"Marriott International, Inc.",per year,24355.5
Nursing,Registered Nurse,Memorial Hermann,per year,70999.5
Healthcare,Patient Access Manager,Memorial Hermann,per year,29425.5
Medical Technician,Surgical Technician,Memorial Hermann,per year,43524
Office and Administrative,Office Assistant,Memorial Hermann,per year,39287
Management,Materials Manager,Memorial Hermann,per year,33746
Technology,Senior Engineer,ConocoPhillips,per year,145290
Research and Development,Geologist,ConocoPhillips,per year,134483
Management,Supervisor,ConocoPhillips,per year,136362
Accounting,Financial Analyst,ConocoPhillips,per year,85091
Office and Administrative,Administrative Assistant,ConocoPhillips,per year,51450
Software Development,Software Engineer,Intuit,per year,119516
Business and Finance,Senior Data Analyst,Intuit,per year,119842
Technology,Technical Support,Intuit,per year,35234
Customer Service,Customer Service Representative,Intuit,per year,39013
Accounting,Tax Analyst,Intuit,per year,65319
Retail,Assistant Store Manager,Trader Joe's,per year,55062
Loading and Stocking,Order Picker,Trader Joe's,per year,20787
Management,Manager,Trader Joe's,per year,58429
Other Popular Jobs,Crew Member,Trader Joe's,per year,24141
Retail,Cashier,Chevron,per year,17647.5
Management,Assistant Manager,Chevron,per year,29548
Technology,Engineer,Chevron,per year,134410
Customer Service,Customer Service Representative,Chevron,per year,19461
Office and Administrative,Administrative Assistant,Chevron,per year,51292
Customer Service,Customer Service Representative,JetBlue Airways Corporation,per year,25837.5
Management,Operations Lead,JetBlue Airways Corporation,per year,42597
Office and Administrative,Operations Associate,JetBlue Airways Corporation,per year,24472.5
Software Development,Application Developer,JetBlue Airways Corporation,per year,103546
Technology,Business Intelligence Developer,JetBlue Airways Corporation,per year,112236
Nursing,Registered Nurse,NewYork-Presbyterian Hospital,per year,88330
