management,worklife,company,rank,culture,compensation,review,security,industry
3.8,4,Chick-fil-A,26,4.1,3.3,This is the most smoothly run and well-managed fast food chain I've seen in New York,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"A typical day consisted of taking orders from customers, cooking, and cleaning. I learned how to treat customers, how to keep a smile on my face even when a customer didn't deserve it, and how to respect everybody. The management team was amazing and never had any issues with classes or my health. They made me feel very comfortable, seeing as I have type 1 diabetes and epilepsy. To this day, I still say ""my pleasure."" I think it is great that after so many years, they still stay closed on Sundays. The hardest part of the job was having to serve mostly college students. They are not always the easiest and a lot of times they can be rude (I was in college for 5 years, nothing against them). The most enjoyable part of my job was being able to walk into work and be happy because of my co-workers, the customers, and just being busy.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,The work at my location was fast paced but the benefits were better than any job I ever had. The Uniform was paid for meals and drinks were free and Sunday was always an off day,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"The company experiences more rush hours than anywhere else that I have seen. This is a a good thing, makes the time fly by. You meet many different kinds of people and get to enjoy the benefit of social interactions. As a whole my co-workers have always treated me with respect and trust. We really did work as a team and always tried to help someone else out. Plus who doesn't love saying they work for a big company like Chick-fil-A.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,My typical day would be serving customers or preparing/cooking food for the customers. Working at this job I learned how to deal with different people and to always keep the customers happy. The workplace culture would be positive and can be so busy at times. This job taught me how to work very well in a busy environment. The hardest part of this job was trying to keep every single customer happy. The most enjoyable part of this job was interacting with the customers.,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,I started as a Waitress but was promoted quickly to Store Supervisor.  Was a Family Fun-Loving environment not only with the employees but with the coworkers.,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"Was the first job I ever had and really enjoyed working there. Was a junior in high school and knowing that, they constantly called me to come in during school hours and it created conflict for me with the job. Had really friendly managers though and enjoyed the actual job.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,This was my first job. I learned how to work with people and met a lot of friends. I learned how to work fast. I worked almost everyday there. It was a great experience for a first job.,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,great place to work i would defiantly recommend anyone to get a job at one of theses restaurants it was a pleasure working there during school it a easy and fun job,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,Chic fil a is a wonderful lace to work if you have the right mindset and like a fast pace enviroment and are a positve personal who can seperate your work and home life.,3.7,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"Working for Walt Disney World, Is a great place of employment, cause you don't feel like if you are working, You pare meeting people from all around the world, and having fun intro acting with them.Working with Walt Disney World, is great cause cause we work together as a team, everyone is friendly and ready to give you a helping hand.",3.9,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,I learned alot about catering the food was the best workers got along well the manager was very nice and always helpful to all employees great place to be,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"Chick-Fil-A was a place that you can work for 8 hours a day, but it only feels like you are there for 4. Their corporate culture of ""2nd Mile Service"" where putting the customer first is of the utmost priority is contagious in this company.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"I love working with the people at my location. It's very fast paced and stressful at times, but you feel like you're a part of a family. They are very flexible with scheduling.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"Although the job was fast paced, I worked with a supportive, productive crew and things usually worked smoothly. Customers rarely left without a smile.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"Love this company, they provide so many opportunities. When I first stated working here I was in a very low part of my life. They gave me a chance and have offered me great advice on how to continue in a good direction. When I needed help or advice they were there with open hearts. Very caring company.",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,I like the experience i have gain at Chick-fil-a  I know when the busiest time will be every day all day. I've learned that poepl have high standards and to met them you have to stay calm there is mistakes that are done but can be solve in the nicest way possible. the managment there has gotten better than the ifrst time i worked there. they are all hard working people. And im glad to work with them beside them. My favortire time out of the day is lunch. We are a the busiest at those time mostly during the week. Unless there is a spirit night on a certain day then we get alot of guest come at night time.,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"Chick-fil-a is a great place to work. They run a tight ship and have high standards of hygiene. The company promotes efficiency, and quality. The company is in very good hands.",3.7,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,typical day would be to help guests at the WDW Resort. I learned that I don want to work there again. Management is unfair. Hardest part is working all holidays and weekends. Training is a little to much as well. Only perk is free park admission,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"Clock in and get a camera that is provided, check assignment and walk into park to assigned area.  Interact with guest and provide services of taking their picture either with the provided camera or their camera at icon location or while visiting a character spot.  I would stay in the area assigned until relief comes approximately 3 hours later and move to another location.  Working a 6 hour day would consistiute a 15min break and anything longer would include lunch breaks.",3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,I enjoyed working at Disneyland because of the staff and interactions with the guests. I was able to work throughout the park and experience different park cultures. I would very much like to return and work there again.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,I enjoyed helping others and making memories happen for those who came.  took pictures of everyone as the came. Being at the park was fun and everyone who worked there were amazing people.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"a typical day at Walt Disney World resorts is basically to get there in the morning on time, eat breakfast,  and listen to your manager's safety brief for the day.  Afterward, you work assignments will be handed out to.",3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,I absolutely loved working for Disney even though it was very stressful. They were very strict but it was all worth it. Most of the cast members were like family.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"Spent every day both in and outside. Once you're trained to perform one role (i.e.: merchandise), you are able to pick up any shift within the same role at any park. Pay close attention to the training regime-- the majority of this job is independently talking to Guests and navigating the park for them. There will always be either a fellow cast member near by or a coordinator just a phone call away if you ever have questions or need assistance; however, being able to handle situations independently is a huge part of the job.",3.9,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,I adore working here. The atmosphere is fantastic and the managers really get you going and make sure you are very comfortable doing so. I learned fairly quickly and I have everyone there to thank.,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,Could've been ran a bit more professionally I dont like beiung forced to write things i dont have much to say it was cool but nothing special and they didn't pay people enough they treated people like they were replaceable,3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"I was only their for the school year, after the school year is up I was unable to have a job their because I worked at the chikfila in the student union of OSU",3.7,"Restaurants, Travel and Leisure"
3.8,4,Chick-fil-A,26,4.1,3.3,"I was nervous when I first started working at Chick Fil A, but once I got to know everyone and know what I was post to do as of cashiering, stocking, and helping other members of my team. I really enjoyed the hours and working with the members and guests,",3.7,"Restaurants, Travel and Leisure"
3.6,3.9,Chevron,44,3.8,3.6,"This was the best job with the highest pay and the most responsibility of the 9 job offers I received. They appreciated my work experience as a coop student and allowed me to take on as much responsibility as I wanted while learning about the company. The oil industry gives new graduates the opportunity to take complete responsibility for managing projects from analyzing problems; devising, designing & implementing solutions; hiring contractors; inspecting work on all levels and giving final approval of all work. This is a lot of responsibility & power so Chevron was very discriminating in their hiring practices.",3.4,Energy and Utilities
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,When you get to work for Disney every day can be a special day.  You have the ability to make and create magical moments for the guest so when they leave they are able to remember it for the rest of their lives.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,I worked here in Outdoor Vending at Disney's Hollywood Studios. I was here on the College program. It was definitely my favorite place to work out of my entire work history.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,i started here as my first job and have been working for eight years now. it has good job security and you learn a lot! keep at it and good things will come.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,"If you love disney, this is the perfect place for you. you get to talk with guests all around the world. what i love most is the friends you make and the magic you are able to create.",3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,For anyone who wants to advance there customer service and receive exclusive perks this is the job for you. You get to meet great people and give them a great Disneyland Experience for there trip.,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,I love the job and the wonderful people u meet from all across the world is the great magical experience you would hope for when you think about Walt disney,3.9,"Restaurants, Travel and Leisure"
3.9,3.9,Walt Disney Parks and Resorts,1,4.3,3.9,great environment with wonderfull and plenty of opportunties to expand career. but im just looking to relocate back to new york from orlando for something new,3.9,"Restaurants, Travel and Leisure"
